-- A B sel_fn Y Z
bd62f2ce 2542e59a b ffffffef 0
32bc0d6b 10a8beb0 9 2214b3db 0
98aed377 38a5e365 6 00000000 1
82d60e96 83c289ed 7 00000001 0
abb53bc8 99e66f11 a 000055da 0
81596ddd 87aff40b 7 00000001 0
245b78a3 17887669 0 3be3ef0c 0
2a66c53f aeced055 9 84a8156a 0
aa7b4a20 9dbeaeb1 f 883a0a20 0
a4a9c8a8 0d35a24a 0 b1df6af2 0
23143a9a 0ef91ccd 2 87534000 0
87d0d771 acd12d63 8 2b01fa12 0
0d773065 8c25f98f 8 8152c9ea 0
25afc81d 802d5c5b d a5afdc5f 0
bb260464 2a903e51 5 00000001 0
28a281f1 2d6c0f10 f 28200110 0
b7aad9fa a8581926 4 00000000 1
26ea6f35 28a14a1c f 20a04a14 0
1556b50c 9a8fc144 b 01556b50 0
9ee27038 354eada4 4 00000001 0
a6746907 194ff377 6 00000000 1
330e0a74 32821127 c 338e1b77 0
9814082e 9e0c93bd f 9804002c 0
37126868 b38e3820 d b79e7868 0
144b849f a7b6dc5e 7 00000001 0
b7dcadfd 811457df c b7dcffff 0
ad41ccc4 0e34f418 b ffffffad 0
2955fa8f 1aa8a8ea 4 00000000 1
8123e333 03fe8c37 1 7d2556fc 0
13167cf6 18fc8ebb 5 00000001 0
30a6562d a0b194b4 9 9017c299 0
bbb90f20 0b1e8ebc 7 00000000 1
0e631d36 ba95f7b2 9 b4f6ea84 0
3793361e 3ef16bd2 5 00000001 0
84fa537e 9734f6ec e 8430526c 0
2b9770af 3db555cf 3 b8578000 0
bc879412 1c3e04f4 c bcbf94f6 0
907941ac 0904c4a7 f 000040a4 0
ad96790e 32159954 4 00000001 0
141d2cec bb515d43 2 a0e96760 0
b860794b 008259ef d b8e279ef 0
a8913c6b 8094b237 9 28058e5c 0
aac0283c 1c1f5535 7 00000000 1
a7f468e2 907664d2 4 00000000 1
05ec41f2 284bc003 d 2defc1f3 0
3bbcbc14 12daab41 3 77797828 0
36990184 a570074a 3 64061000 0
34048471 8a641eb6 b 000000d0 0
b6db124d 2699d8d5 c b6dbdadd 0
388cc8eb ae1500d5 b 000001c4 0
20ac8cc2 03855fbc b 00000002 0
815d290a 2bd671d8 a 00000081 0
3aa7edc5 1556a06f f 1006a045 0
97f7489d 895a6920 0 2151b1bd 0
a61d63c5 ac5bf55c c ae5ff7dd 0
8c391faa a75fb83a f 8419182a 0
36573710 3c4e7899 2 20000000 0
912dd659 b5028477 4 00000001 0
04728b17 02ba7820 3 04728b17 0
26248a19 8d6a05a7 f 04200001 0
31d94c9f b041b978 0 e21b0617 0
0f91c42e b1b908a1 7 00000001 0
a50a650c a9949ee1 b d2853286 0
b945db64 3bd54299 2 c8000000 0
0901cd4a 90210365 0 9922d0af 0
b0ccc1a4 2c287e6a 0 dcf5400e 0
1f20eb09 b493ac53 c bfb3ef5b 0
82beab98 bd31276a 0 3fefd302 0
ae2b513b a65fce10 3 513b0000 0
b106639e 9b46bd65 d bb46ffff 0
ae839917 8bb92745 1 22ca71d2 0
3a37c2c1 25a063bf b 00000000 1
ac71a318 1468f0d5 b fffffd63 0
0b36896f 9f499201 e 0b008001 0
9cddb7a8 b827a21b 8 24fa15b3 0
3c81f722 9b53fe32 d bfd3ff32 0
b791c575 0e36a05e d bfb7e57f 0
33a1db3b 1f2cb9cf e 1320990b 0
bba56fa8 b008ad88 f b0002d88 0
af5e3ab7 18a7b83f 4 00000001 0
37675078 8c0a1d7a 9 bb6d4d02 0
b268dd90 82e52212 2 76400000 0
2caad4c8 9790d290 c bfbad6d8 0
b46573e8 15e50271 c b5e573f9 0
1d0a73ce 383e113d 9 253462f3 0
8442d645 082e1488 6 00000000 1
9745d206 0d26afbe d 9f67ffbe 0
210a7d8f 289b4ccd d 299b7dcf 0
af8da8cf bf3f5259 9 10b2fa96 0
0752fe93 8ff43e77 5 00000000 1
0823a481 b6a915a2 2 208e9204 0
11c3ea2e 06a23f7f 5 00000000 1
1e5d60ed 079f8fbb 6 00000000 1
9a1abe72 22683dfc 8 b872838e 0
99b5d07c a5d63e8f 7 00000001 0
8e4f6669 bab4a7c4 8 34fbc1ad 0
073a3c62 38519c6a a 0001ce8f 0
b295ed36 07a8a190 1 aaed4ba6 0
a33dbcb0 09cefd92 6 00000000 1
951956ca b8b1a518 5 00000001 0
3ddc151b 12f7d89d 6 00000000 1
936b536a 331305dc 9 a07856b6 0
0c7f5fd6 83be00b6 d 8fff5ff6 0
83c20cb5 9f77e2a0 b 83c20cb5 0
032be9df 885ef41b 0 8b8addfa 0
a54669ed 1f2f3dbf 8 ba695452 0
0408ac75 94a00276 b 00000010 0
b2c4aea9 9664e8da e 9244a888 0
3a2375c4 8d1285d8 f 080205c0 0
1a4a124b 183fb09c 4 00000000 1
3626a6e9 ba260683 1 7c00a066 0
3a3aafba 1472d383 3 d1d57dd0 0
884b7fd4 941534cd 4 00000001 0
a1a9c45d 136ddae9 c b3eddefd 0
026dd1b5 b0befdb8 6 00000001 0
b5c5f24c 3ef6f7c9 3 8be49800 0
2fd8aefb b5b1ee18 b 0000002f 0
115d6d24 90991cf5 6 00000001 0
8deadc0a 30b96d5b a 00000011 0
bd91f211 adfd46b2 e ad914210 0
116b6e34 28756454 3 e3400000 0
0bf7fae2 24c543f9 6 00000001 0
aff03e98 1c8df596 0 cc7e342e 0
aa7e1145 044bf7cc d ae7ff7cd 0
a36bacf4 1245543a a 00000028 0
889d527b 2b267962 1 5d76d919 0
17843294 3642d335 5 00000001 0
9b626528 28f9c817 e 08604000 0
8d0887d7 97924a7a c 9f9acfff 0
8319aa0c 3acf845e 2 00000000 1
276daf0a 11f238a1 6 00000000 1
11729dbd 10b3592f b 000022e5 0
b2d6a589 aeb166d4 d bef7e7dd 0
ba1504c9 9f0489a5 b fdd0a826 0
26e4d865 9b711a1d 1 8b73be48 0
19c964c2 2493fcbe b 00000000 1
230b53f8 9d50587a 5 00000000 1
816bcc1b 30223589 f 00220409 0
04dd8e3c 2513c940 a 04dd8e3c 0
9a09cfef 34a5f821 c beadffef 0
af5db1b8 a60c0faa b ffebd76c 0
0ea1c1fb 8b2f7c41 e 0a214041 0
8bf9035f 9594fbb3 1 f66407ac 0
3626c273 04010c5a f 04000052 0
a2836fb7 0c26e087 5 00000001 0
857bc889 060a5c72 1 7f716c17 0
05110c22 ab1b192c 1 59f5f2f6 0
a54ad9ac 9c86ce36 5 00000000 1
1f4e7722 b35c9338 e 134c1320 0
2ab1baf1 9e384fff 8 b489f50e 0
26678ee9 a95fecaa c af7feeeb 0
2bdb4126 38419abf a 00000000 1
176bff97 01dd1d44 9 16b6e2d3 0
82c8d37f 80515713 1 02777c6c 0
0d7442f4 28f394f3 5 00000001 0
10a089d7 2e6333e5 0 3f03bdbc 0
a7c0e18c 0a5d002d 5 00000001 0
03055b00 a60e496c a 00003055 0
2151a96d 1da5d04c e 0101804c 0
030a6099 b1e05168 e 01004008 0
086930ff a44f094b 1 641a27b4 0
9a849d5c a8f959e9 9 327dc4b5 0
9bcc6caf 8a0a7f78 2 af000000 0
8896bfe9 8fb1b209 9 07270de0 0
1e56ec5f b8396eec 1 661d7d73 0
396fdf72 07b87857 b 00000072 0
971011d9 361dfbf3 6 00000000 1
2758f8de 3aaff8f1 2 f1bc0000 0
1c8b4bbb a62986a9 1 7661c512 0
9c535234 3bfe7d78 b ffffff9c 0
9df82894 1f0e9d6f b ffff3bf0 0
239c2f6c 1312e361 1 10894c0b 0
82fc7c2a 8c4e110b a 00105f8f 0
81953f03 1f174d55 4 00000001 0
1cf8e521 361f8a8f 7 00000001 0
06ae25da 378ea29c 1 cf1f833e 0
290ad37a 13aa565e 3 80000000 0
8f0ae94c 3b175bc6 9 b41db28a 0
31b1d0a6 24b1b0e3 5 00000000 1
04c0f381 0e126612 c 0ed2f793 0
a1a7481c 08ec10d5 a 0000050d 0
0dace164 06a73f3f 3 00000000 1
b7197bb9 2b658025 9 9c7cfb9c 0
37f302c8 1224e1ce 9 25d7e306 0
a70ab950 a762dfe0 2 a70ab950 0
0171c4a1 29743ddd c 2975fdfd 0
0c4c5f2e 126644b2 9 1e2a1b9c 0
8676f25c 96e4dd22 5 00000001 0
9c17d38d 1c14c0cb e 1c14c089 0
833f26ba 873d00b1 b ffffc19f 0
b3fa571e 00cbbd4c 8 b331ea52 0
a9d3b5b4 8aa41591 f 88801590 0
11579d33 a6f54897 f 00550813 0
a302a060 2f80594c f 23000040 0
0a756438 b122480e 4 00000000 1
ad5190c5 aa2881fc 7 00000000 1
1b97f774 a03b1b1d a 00000000 1
37e6bf1d 2fc9458b 0 67b004a8 0
b05e1f4c 1910c2b0 2 1f4c0000 0
197c4b02 3188c211 8 28f48913 0
aa289f80 07d65b60 d affedfe0 0
a4a8d26d 269f1da4 3 4a8d26d0 0
27f40b16 ba1cf9fc 8 9de8f2ea 0
a2c8b598 38a7c5f1 4 00000001 0
aabb7bf0 a5059133 4 00000000 1
b610521b 15141871 d b7145a7b 0
8301b047 3193c490 b ffff8301 0
115ce0e7 0957fa21 f 0154e021 0
a8dec275 9c0cc00d 7 00000000 1
218259df 0cf011fd c 2df259ff 0
1f6aafda 3d8e24d7 a 0000003e 0
b7f39d43 1d1483b3 0 d50820f6 0
371fc1c2 800bab28 6 00000001 0
89baf635 b981c04d 0 433cb682 0
105ab795 0d178e42 b 0416ade5 0
2fe5a2ed 906258b6 4 00000000 1
0fc4dbb7 06f182e1 7 00000000 1
8f9ebe80 210ac270 0 b0a980f0 0
b21384dd 1172a9cb 4 00000001 0
b04cfd4c b9cbc0db 4 00000001 0
3b2d7bcf 2596f74c e 2104734c 0
9536785f 9cceb5ca b ffe54d9e 0
865a61c0 a680b5ac c a6daf5ec 0
364a1571 b2810a68 9 84cb1f19 0
29cf95cc b9ef6c16 e 29cf0404 0
38bfc04f a5c1bd9c c bdfffddf 0
9784c83d 0846dc5c 3 d0000000 0
146ff7cb be957f62 d beffffeb 0
0fd678a0 0963499f 0 1939c23f 0
ade67383 b3d3a8d8 3 83000000 0
802a17d6 2b949ecb f 000016c2 0
1f403126 a2d9e6f6 5 00000000 1
305e819f 3942a758 1 f71bda47 0
bb18d700 8de1a224 1 2d3734dc 0
956d8959 2fca2ddf 8 baa7a486 0
0cdb5eea 96609f29 d 9efbdfeb 0
26567be4 875dcb5b 0 adb4473f 0
00feb7fc 8841962d 3 d6ff8000 0
91efcceb 3fbc4f2e 6 00000000 1
3dbece92 9d981ac1 3 7b7d9d24 0
98fa3801 28b9bb49 8 b0438348 0
120f0179 8ff13c2e 1 821dc54b 0
3f587e55 17bd28fe 9 28e556ab 0
84af486a bd09cf73 7 00000001 0
a9f3a7eb 14675a69 a 0054f9d3 0
8046831d 8063ecc0 8 00256fdd 0
3c885b93 86c1117a 8 ba494ae9 0
23be618d 11b5e04e 2 98634000 0
8b158b24 a07650fe f 80140024 0
26fbe554 a1f032e4 5 00000000 1
1e66e99b 20a43d36 e 00242912 0
946e711f bd151068 5 00000001 0
89bdf72a 371038e8 d bfbdffea 0
16d706a9 0edf434e 3 c1aa4000 0
894d736a 379068e6 2 535cda80 0
10fa04c8 32b449c7 5 00000001 0
bdcdc820 09aa4b7e 7 00000000 1
29e7be62 9d1945f4 8 b4fefb96 0
01170f55 9283da5a 7 00000001 0
b4bc7071 15724492 4 00000001 0
aa4e45bc 885d0cab 9 22134917 0
25da405a 8a741dd7 c affe5ddf 0
8dd0168f b6f6d4be 3 c0000000 0
29b0d542 325e9a79 2 84000000 0
3da98870 835a2f48 4 00000000 1
324e1e24 09a11b11 b 00001927 0
33013af6 3ba2dc10 3 3af60000 0
391f3bdb 07395261 4 00000000 1
bf8a6add 3c832eba 7 00000000 1
894ca15d 2dbbc320 c adffe37d 0
179ea722 ba65e3e1 e 1204a320 0
b55f9dd2 a28c3054 5 00000000 1
9a599374 0f1dd9cc f 0a199144 0
a7ddfb52 12761b72 1 9567dfe0 0
1c9654b0 974ac551 8 8bdc91e1 0
12bffa6e 0b6dd5a9 b 00095ffd 0
8e5ee26e b3aa4ace 0 42092d3c 0
24bd85d3 3ee92231 1 e5d463a2 0
bffe04cc 32ae9845 a 05fff026 0
2588d2a2 bedc7d70 c bfdcfff2 0
bc79cfef 05dc08ef 3 e7f78000 0
33351156 a100e150 2 11560000 0
8ae106fd bc874beb 0 476852e8 0
1b27a84d b0bc6121 1 6a6b472c 0
16840676 92acced7 2 3b000000 0
380d7c50 1f8a47d6 c 3f8f7fd6 0
a7af3a35 bec61a70 3 3a350000 0
a46fdcb0 9e781185 a 05237ee5 0
a34dc589 9491b289 2 9b8b1200 0
b6a68fcf 20e3356a b ffeda9a3 0
9f487419 94e4b400 7 00000000 1
a7030a30 213c4fe4 3 7030a300 0
a43bd89e a3d4aa78 0 48108316 0
bc2edd5d 04466420 3 bc2edd5d 0
1aacba8e a682bcff 8 bc2e0671 0
abd8b54d 8dd4b370 6 00000000 1
0a852e4c 0109abe8 f 00012a48 0
0ef59a11 abb99c82 a 03bd6684 0
a74a7b84 1b32fb86 0 c27d770a 0
20e170e3 102da6f1 2 e1c60000 0
8a125bb2 3fa1de88 0 c9b43a3a 0
87e632f7 149e5fe2 1 7347d315 0
1beaaf07 9d5bd021 c 9ffbff27 0
23cc51a0 906f8ab3 b 00000479 0
37f91828 b6a3a14d 3 23050000 0
1c1896a2 9cdbf4e0 4 00000000 1
9c410f83 a24255c7 0 3e83654a 0
abf0ccc6 0fbc86ad 3 1998c000 0
029d7d25 3d81dc91 d 3f9dfdb5 0
3c8af00f 32ae8237 3 07800000 0
99185457 0d2c451b 8 9434114c 0
89525e22 8a90d8f3 8 03c286d1 0
316c1671 1b0fdd6c a 000316c1 0
11f64ebd 0d1823cc 1 04de2af1 0
0b1f9a9d 23a776e1 0 2ec7117e 0
0ec4914d 0ebd2c5e f 0e84004c 0
3a3c8e8b ac97b652 5 00000000 1
bac5780a 2aeba5f9 c baeffdfb 0
865ce839 28efa1c3 5 00000001 0
1d364a22 9309c37a 0 b0400d9c 0
9a4b835d 2b1160ee 6 00000000 1
1128ddd1 367b5316 c 377bdfd7 0
a4347520 9675af46 d b675ff66 0
26116880 3e6f03b0 3 68800000 0
00dacf1f 94769d3f b 00000000 1
1f4ff641 0be5ff4a 0 2b35f58b 0
a21b26eb 87844407 5 00000000 1
1ac5a341 acf72cb4 a 000001ac 0
b96e5189 9f3cc9f1 9 26529878 0
87bbf100 0007be90 6 00000000 1
32e56a9c 0e05d73b 9 3ce0bda7 0
1f6cb67a 203a4831 f 00280030 0
a3aa853d bde4b1fe 4 00000001 0
07b70581 a605f10d a 00003db8 0
a0b058b0 866af566 9 26daadd6 0
b68fc0f4 297e1db4 f 200e00b4 0
a6d4ed73 98b80b84 d befceff7 0
99ecd6a2 317d1191 2 ad440000 0
bd74cf65 a0b00a5a a 0000002f 0
bc0eeceb 3b72b6d7 8 877c5a3c 0
aeeb27e7 039923e9 c affb27ef 0
9f1aa78a b34ff26b 8 2c5555e1 0
00326f4d b4854e73 9 b4b7213e 0
25254007 b18fbfaf 0 d6b4ffb6 0
a16a2f00 95fd752e d b5ff7f2e 0
12ebddc1 0f135472 8 1df889b3 0
8cbda613 96903311 8 1a2d9502 0
9b91ae98 3b144f77 8 a085e1ef 0
17a41842 2afe2091 0 42a238d3 0
b2ea0c91 27200450 b ffffb2ea 0
8431338d 84d76a57 2 c6800000 0
29da4e16 b7a4e57d 0 e17f3393 0
0cc3daf6 af958a66 b 00330f6b 0
9d99859d 9d3d6a12 4 00000000 1
1bf65503 a0436623 0 bc39bb26 0
0eb242d8 3386a64e a 00003ac9 0
0d676b17 04ef1337 2 8b800000 0
0fa92ac0 25ef36ed a 00007d49 0
197782bf 0947ea4e 1 102f9871 0
ad82c514 1181a51e 4 00000001 0
96dfb480 1cdeaa1a b ffffffe5 0
054b7d28 8c669d53 6 00000001 0
b06debd6 95a80e25 5 00000000 1
b20e5917 905ac57a 1 21b3939d 0
b40fc255 16793452 b ffffed03 0
25aba5b3 250dbf36 f 2509a532 0
a1ca9c35 355ec927 b ff439538 0
9d3696c6 b9f40130 9 24c297f6 0
85e79eaf 00c7062a 4 00000001 0
3e85f289 0cb6be9c 2 90000000 0
994cf8ef bca0e700 c bdecffef 0
10e51c55 aa0b1e7f 1 66d9fdd6 0
0584b68c 099d690f 2 5b460000 0
35d905fb b2681c64 6 00000001 0
27a87ec5 a905fec6 7 00000001 0
110f0847 ba94a27c c bb9faa7f 0
adeecdf5 3e8feaec 4 00000001 0
37c0b29b 89cd5157 0 c18e03f2 0
1757eef7 97cf4974 e 17474874 0
0fda96a6 03bd0bc4 2 fda96a60 0
9b75d071 a60bf2ca 8 3d7e22bb 0
8669409c 24434d73 3 04e00000 0
ba08d64a 034a73a4 0 bd5349ee 0
bae73d84 bd852168 1 fd621c1c 0
8eb109aa 968ad6a8 b ff8eb109 0
b226186d 0e854973 b fffff644 0
acab1a5a 3d594690 8 91f25cca 0
1fb1e4b2 30ffe216 2 2c800000 0
a11c925f 91e96e98 f 81080218 0
9fa70e91 b0fe16a2 b e7e9c3a4 0
b01ef922 3d19444c 6 00000000 1
9d1c14bf 8730df84 e 85101484 0
99567d8a 0adce11b c 9bdefd9b 0
a2514cc1 10b2d8e2 4 00000001 0
147fa6c9 b5a6133d c b5ffb7fd 0
b8113934 a38b1222 2 e044e4d0 0
2cfd11d2 9a8aa4bf c beffb5ff 0
90b01445 aed2d6f8 7 00000001 0
1516f5af 0c0354dd c 1d17f5ff 0
894cd20e 980df100 f 880cd000 0
1e2f1b33 8c3d72f6 1 91f1a83d 0
1910558f 24e44d1a e 0000450a 0
22e5b4b8 221f43b3 0 4504f86b 0
1a40b07c a10359fd 6 00000001 0
02a5a0ec 0538a839 a 00000001 0
3c31d91a bb946dbb 6 00000001 0
bbd6afd8 8cfab48c 9 372c1b54 0
271b1adb 365c9632 2 6b6c0000 0
a2760ba9 aeb3cd5e 6 00000001 0
34227582 9a22fc96 1 99ff78ec 0
8c897ee0 abef56ff c afef7eff 0
1beb73ef a0b4069e 7 00000001 0
3c6d87f2 27ec4637 8 1b81c1c5 0
2d2d8ee4 0c70aff9 a 00000016 0
babf8e87 b7135121 9 0dacdfa6 0
02e9c163 1fe6c512 b 000000ba 0
9e10b0d3 265c616c b fff9e10b 0
16f95b78 bdafc453 9 ab569f2b 0
966f0fbc 3ac31286 d beef1fbe 0
b9dc2d84 91554560 3 b9dc2d84 0
1d37cecd 0a11459a 7 00000000 1
33b6296c a5aeee01 9 9618c76d 0
8f6bb92b 96447a78 b ffffff8f 0
a49de03a 23c042c0 0 c85e22fa 0
a14db6fd 8c2277ad 5 00000000 1
ab792204 06c81556 6 00000000 1
adb7070e b38b2d7b 7 00000001 0
b2c24b47 86c70582 9 34054ec5 0
8a2f168c 0d45767a f 08051608 0
89afc5f0 3a7008e9 b ffc4d7e2 0
2a6fe536 0e243600 3 2a6fe536 0
ae5e45c3 a406ccfb b fffffff5 0
a2a63657 2a8527a1 c aaa737f7 0
aab71eed 2a621223 c aaf71eef 0
275b6f59 bf37cc68 c bf7fef79 0
29ed12d8 8fd5e9a9 0 b9c2fc81 0
2c8a02df 1e1811a1 a 1645016f 0
bf91629f b4701808 0 74017aa7 0
a319339d a4aee23d 7 00000001 0
03552fba 3fa2d3a9 c 3ff7ffbb 0
347ce472 12559f3d c 367dff7f 0
2dbb02ae 96eebc45 3 b76055c0 0
a7ee2366 997c4cad 8 3e926fcb 0
920f84ea b3f4c95b f 9204804a 0
bb48339b 2ccbe80f 5 00000001 0
3123e620 23c49e7a a 0000000c 0
93319e5d 14ffaa48 4 00000001 0
366d56ad 2405c253 7 00000000 1
a2de55c8 37763a6b 6 00000000 1
063f47f6 981831ca 6 00000001 0
335d43c2 a78ddffa 8 94d09c38 0
1ffd10c7 1903c284 3 ffd10c70 0
acf44e3b ae136276 5 00000001 0
8241770a 969cd0a2 d 96ddf7aa 0
9abaf5f3 2a14c94b 8 b0ae3cb8 0
8113c97c 06ec59a8 0 88002324 0
b9424f33 959b6a87 e 91024a03 0
1f6ef328 a282fac6 5 00000000 1
a4b0bc3c 16e3f7d6 c b6f3fffe 0
056c97c9 110bdaf3 f 010892c1 0
9161175b 23d4d0bd d b3f5d7ff 0
a396a36b 990269a1 4 00000000 1
8bb1eee1 a18e9e08 7 00000001 0
01f718df 081b18f8 4 00000001 0
30492772 9d0bede1 c bd4beff3 0
a6a721da 878ce6ce 5 00000000 1
8dc95969 03f6811a a 00000023 0
b3b640e0 8fff31db 5 00000000 1
936d9c3d 2de7897f a 00000001 0
9f635843 9c9790e2 c 9ff7d8e3 0
3dcc3f2e 966f0e51 9 aba3317f 0
03c9d2de 3b2337b9 2 bc000000 0
037e38aa 2760d740 d 277effea 0
bc38ea58 910e7a7c d bd3efa7c 0
3f22ee22 2902ef75 c 3f22ef77 0
26939c11 897b4154 0 b00edd65 0
a2c16c46 22d6598b a 0014582d 0
ae372908 085bcf90 9 a66ce698 0
0a3acbe3 b3daba8f 8 b9e0716c 0
0bfe4e58 991e2f04 b 00bfe4e5 0
2f15e1e1 3444e55c 2 10000000 0
2c248b20 051aecf0 9 293e67d0 0
37920903 94c418e7 f 14800803 0
36e115f3 36872fda c 36e73ffb 0
858e627f b09b4363 e 808a4263 0
13b56722 b064961b e 10240602 0
af686691 2fd7013d 5 00000001 0
3189c67e 1a705316 8 2bf99568 0
15af9883 ae33aa61 e 04238801 0
2edeea65 91be354b 9 bf60df2e 0
3c07b9ec 293b6148 4 00000000 1
355d3b32 8353b1cb b 0006aba7 0
92507f17 05650ebf e 00400e17 0
0351896e b5a4d1b9 8 b6f558d7 0
1cb89ac8 8e0d526c 2 89ac8000 0
bba34658 b8877cd1 3 8cb00000 0
0e1409de b73d0370 a 00000e14 0
b20ce58e a0bea833 1 114e3d5b 0
974c6781 a26835c0 1 f4e431c1 0
